Algorithm,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Confusion-Matrix
Logistic Regression,0.9385964912280702,0.9285714285714286,0.9069767441860465,0.9176470588235294,0.9911562397641664,"[[68, 3], [4, 39]]"
Decision Tree,0.9035087719298246,0.8333333333333334,0.9302325581395349,0.8791208791208791,0.9087782509007534,"[[63, 8], [3, 40]]"
Random Forest,0.9473684210526315,0.9111111111111111,0.9534883720930233,0.9318181818181818,0.9919751064526695,"[[67, 4], [2, 41]]"
Support Vector Machine (SVM),0.9473684210526315,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9852603996069439,"[[68, 3], [3, 40]]"
K-Nearest Neighbors (KNN),0.9298245614035088,0.9069767441860465,0.9069767441860465,0.9069767441860465,0.981329839502129,"[[67, 4], [4, 39]]"
