Algorithm,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Confusion-Matrix
Logistic Regression,0.7532467532467533,0.6491228070175439,0.6727272727272727,0.6607142857142857,0.8146923783287419,"[[79, 20], [18, 37]]"
Decision Tree,0.7467532467532467,0.625,0.7272727272727273,0.6722689075630253,0.7424242424242424,"[[75, 24], [15, 40]]"
Random Forest,0.7337662337662337,0.6206896551724138,0.6545454545454545,0.6371681415929203,0.8143250688705234,"[[77, 22], [19, 36]]"
Support Vector Machine (SVM),0.7727272727272727,0.717391304347826,0.6,0.6534653465346535,0.8145087235996326,"[[86, 13], [22, 33]]"
K-Nearest Neighbors (KNN),0.6948051948051948,0.5833333333333334,0.509090909090909,0.5436893203883495,0.7640955004591368,"[[79, 20], [27, 28]]"
