Algorithm,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Confusion-Matrix
Logistic Regression,0.7951219512195122,0.7563025210084033,0.8737864077669902,0.8108108108108109,0.8787359604035789,"[[73, 29], [13, 90]]"
Decision Tree,0.9853658536585366,1.0,0.970873786407767,0.9852216748768473,0.9854368932038835,"[[102, 0], [3, 100]]"
Random Forest,0.9853658536585366,1.0,0.970873786407767,0.9852216748768473,1.0,"[[102, 0], [3, 100]]"
Support Vector Machine (SVM),0.8878048780487805,0.8508771929824561,0.941747572815534,0.8940092165898618,0.9631639063392347,"[[85, 17], [6, 97]]"
K-Nearest Neighbors (KNN),0.8341463414634146,0.8,0.8932038834951457,0.8440366972477065,0.9485532076908434,"[[79, 23], [11, 92]]"
